index,word,count
48525,feed,71269
13246,special,71224
27132,reason,71090
22069,file,70657
10129,act,70306
37412,nothing,70068
1585,end,69023
43208,girl,68900
48947,golf,68889
25482,digital,67934
29324,subscribe,67834
5898,common,67654
20794,shop,67547
19123,fun,67285
24666,days,67256
21035,sign,67218
4917,join,67198
1473,strange,66958
16783,nice,66756
9268,going,66707
9182,working,66404
45714,long,66178
11487,connection,66131
49234,censorship,66085
1893,text,65991
45477,university,65984
42756,mobile,65757
3250,way,65739
40810,android,65490
48676,en,65345
32611,still,65256
17284,agriculture,65214
40327,budget,65169
26281,z,65101
20273,seen,65000
16123,hidden,64925
36189,west,64924
8978,heaven,64332
15854,future,64201
42472,housing,64174
15321,creative,64164
6823,sex,63940
37627,photo,63760
45671,air,63673
5018,eating,63605
1615,economy,63464
3791,cancer,63440
5210,print,63223
41514,corporate,63113
3944,clear,63004
9965,ocean,62614
33436,order,62570
39860,got,62563
31970,copyright,62461
6020,civil,62305
18613,safety,62292
42269,racing,62246
5944,conversation,62028
5238,three,61758
6606,happiness,61624
3163,dogs,61480
36664,training,61419
7626,protection,61416
34044,learning,61403
46276,lying,61400
28697,mike,61391
14795,hypocrisy,61344
1578,plan,61199
33802,madness,61122
29389,find,61032
31571,joe,60926
23684,trump,60847
49375,place,60838
9520,coupon,60617
18684,certification,60599
38228,death,60573
48258,trip,60326
966,library,60165
29518,country,59889
1030,father,59790
24874,card,59769
43127,baby,59768
31151,theme,59762
13123,word,59704
46311,smith,59412
4973,save,59326
16842,mo,59214
27436,action,58763
23575,surveillance,58711
29944,radar,58485
44638,campaign,58347
45258,made,58158
37155,inspiration,57951
23154,portal,57863
17910,survival,57827
47487,directory,57802
20686,estate,57702
43887,getting,57655
1087,china,57522
11528,truck,57437
44786,fest,57432
47649,bob,57414
13063,keep,57255
2655,memo,57248
29086,management,57152
482,room,57107
20004,career,57081
27261,call,57061
2414,say,57026
27713,could,56880
5551,star,56848
35351,student,56758
6464,jack,56670
35460,feminism,56620
22810,al,56538
25878,experience,56520
14404,eve,56335
22171,works,56294
48878,brown,56274
25032,difference,56242
18026,really,56111
20397,forecast,56110
10040,logic,56068
13998,young,55906
21418,lounge,55905
24588,bug,55887
1063,road,55851
7644,reading,55845
20262,register,55834
13010,create,55794
43636,amber,55507
35849,curtain,55413
19429,lottery,55356
9282,police,55204
32701,debt,55169
5706,eu,54963
33498,resource,54923
2901,stuff,54889
41106,almanac,54589
49516,look,54404
43039,strategy,54234
9972,paying,54062
21682,consumer,53939
13743,writing,53874
4002,casino,53859
23802,hooked,53755
21333,trial,53721
24344,silence,53683
11346,council,53583
45126,system,53570
28699,better,53518
13626,skeptical,53388
27942,racial,53261
41408,water,53187
21414,correctness,53173
10084,preparedness,52809
13932,fox,52765
46587,left,52703
22739,alan,52665
11636,want,52629
43981,heart,52578
31679,goes,52558
43965,propaganda,52543
29683,emotional,52515
39118,urban,52444
17339,attention,52333
20416,energy,52247
44828,ann,52227
9600,interview,52225
45208,sin,52211
2691,morality,52201
45832,industry,51950
12397,normal,51941
42603,curmudgeon,51923
49282,board,51863
37214,mary,51810
20033,san,51801
294,pay,51790
8749,manor,51735
9800,conservatism,51716
47343,quote,51604
43758,spring,51519
43009,blitz,51517
30667,article,51453
29945,karma,51395
49276,patriotism,51139
30747,class,50983
16518,canada,50961
26446,secret,50794
3148,age,50450
8576,rock,50345
2279,crime,50333
25721,senior,50265
41550,film,50114
25689,link,49998
28004,paper,49961
39689,martin,49949
2528,king,49912
9194,park,49837
41695,morning,49837
9964,diary,49832
10549,president,49751
1691,logos,49745
25728,wall,49739
19545,literature,49567
14591,cat,49319
30143,faculty,49302
21704,earth,49259
36031,woman,49246
10329,sale,49199
32871,reunion,49164
20951,think,49105
19527,price,49095
26710,courageous,49093
19987,saving,48998
12076,architect,48857
17702,daybreak,48739
8018,speedway,48691
25946,apple,48675
27929,never,48672
42896,county,48596
21785,stop,48532
48253,downstream,48428
19673,lost,48404
43933,ways,48371
13431,federal,48365
1096,dead,48360
41043,would,48341
32073,creepy,48337
32079,access,48305
33954,interest,48284
19749,shade,48282
3345,visit,48239
10811,car,48238
35372,hyperbole,48219
26516,charming,48210
23986,conglomerate,48190
27500,cool,48157
2866,eye,48148
29878,animal,48076
4443,hill,47999
18590,motherhood,47989
47246,retirement,47976
40383,primary,47951
3863,paradox,47823
2324,tweet,47818
3356,tech,47616
42037,income,47590
22031,v,47557
38661,forum,47551
7550,seem,47500
33150,around,47497
9266,simple,47461
30631,emotion,47453
37793,east,47452
8550,dan,47268
27754,rationality,47194
40276,bar,47126
32814,witchcraft,46973
5674,submit,46946
46354,supreme,46931
36728,condition,46924
30541,contribute,46862
20655,truth,46782
28521,garden,46769
9559,mind,46748
40423,middle,46739
25037,box,46608
33721,letter,46416
5758,something,46406
24640,trade,46322
4291,fire,46292
28089,modern,46280
35454,central,46264
27792,narcissism,46139
44808,masculinity,46129
39816,surrealism,46095
45898,el,46087
34523,disease,46058
9076,boredom,46035
24918,pronunciation,46001
4146,photography,45952
13407,reform,45949
31735,sacrifice,45917
48453,giving,45914
2472,superstition,45914
32026,pickings,45900
12999,bodily,45819
5082,liberty,45674
47640,television,45664
37370,forget,45621
26405,tea,45604
4314,ad,45598
27869,reader,45578
40220,space,45513
42857,roger,45426
11066,economics,45389
14606,unseen,45370
30028,nuance,45305
33451,solitude,45255
30077,property,45253
16864,study,45162
49221,store,45128
12429,farm,45104
33070,stalker,45089
22338,unsaid,45045
8992,frank,45037
35402,military,45018
25300,femininity,45002
4551,account,44970
1927,conference,44957
9630,try,44920
48566,current,44796
44682,land,44767
21285,winter,44754
48961,orgasm,44697
20985,lightweight,44665
43681,punctuation,44650
24992,coolness,44566
14110,ben,44464
27106,unwritten,44344
21363,birthday,44341
8109,lateral,44341
30818,embarrassment,44338
4142,criminal,44315
24934,thinking,44277
28646,marginalia,44268
26272,stately,44249
47766,latest,44215
38500,fashion,44210
41975,paraphrase,44177
12210,cell,44161
38685,aphorism,44129
48858,pseudonymity,44126
42326,annoyingness,44108
25183,climate,44105
3027,challenge,43954
23798,church,43954
8377,donate,43843
35704,miss,43784
17138,five,43669
1213,request,43647
34305,college,43638
39875,second,43589
43154,pink,43483
29256,come,43429
1246,product,43280
41438,henry,43254
11909,collection,43028
15255,many,43018
18998,capital,43010
42431,member,42971
16334,sweet,42958
27815,firm,42780
36685,risk,42698
11520,vote,42491
36965,line,42490
48144,unemployment,42374
22731,voice,42330
49154,b,42292
28752,bank,42262
13244,economic,41829
4372,democracy,41824
48501,sam,41801
33880,movie,41774
41525,tag,41759
32359,marketing,41733
46662,trust,41660
35861,super,41647
16661,color,41604
31366,final,41598
21320,face,41592
25806,eric,41529
4487,union,41480
27399,coming,41458
37732,gold,41428
21257,lee,41426
43296,much,41369
47961,fair,41360
16421,advice,41215
33823,custom,41194
47442,without,41181
33346,credit,41089
1034,series,41046
7133,vintage,41000
40820,jeff,40966
47746,nutrition,40954
43951,bush,40929
736,natural,40897
8957,moving,40844
3344,true,40810
9934,yet,40800
33336,japan,40592
41680,immigration,40591
15314,stem,40553
28126,guest,40509
36830,rose,40440
20471,breaking,40389
12867,island,40326
38266,point,40311
40291,give,40285
49467,technical,40280
12291,oh,40149
29639,fund,40101
26057,diet,40046
832,ever,40040
32618,corner,40014
47844,lady,39951
25462,queen,39904
38938,bulletin,39895
30095,shopping,39729
824,child,39705
31422,everyday,39669
29516,commons,39658
9535,head,39566
25310,e,39544
17270,crown,39457
32273,beyond,39218
37319,commission,39206
10785,progress,39170
15755,membership,39100
15227,award,39087
11679,recent,39008
36482,well,38992
31840,win,38977
42694,feedback,38840
44479,jane,38830
17904,hunt,38824
14218,private,38757
49290,alliance,38706
30538,hunting,38672
9525,please,38591
8601,men,38569
41517,boston,38565
38716,opinion,38528
31255,random,38524
928,archive,38474
46749,volunteer,38429
26399,practice,38366
35108,useful,38270
47178,exchange,38251
42777,guy,38191
37554,play,38184
33365,dean,38114
14812,gift,38038
5124,affordable,38016
15931,attorney,38012
3569,smart,37997
1044,area,37971
32317,four,37962
49474,looking,37943
31300,harry,37810
2859,marriage,37809
37513,run,37765
36232,god,37580
14246,buy,37547
17586,golden,37468
9172,environment,37386
42900,contest,37328
18273,welcome,37235
47593,event,37031
17925,weekend,37024
25134,thought,36981
36172,tool,36979
2030,wrong,36914
30461,discussion,36906
26205,million,36800
16931,wild,36695
37812,name,36624
45136,protein,36608
24739,conservative,36594
2829,everything,36588
7574,friend,36521
31361,set,36470
5974,sun,36447
38921,sense,36381
22541,calculator,36373
13012,building,36355
29856,favorite,36322
34103,said,36314
32139,beautiful,36295
17781,chapter,36286
22659,month,36274
30816,construction,36255
39929,expression,36176
37439,front,36126
21494,song,36020
27740,blood,35986
42294,dream,35979
42832,beauty,35915
9279,fall,35865
7081,performance,35813
3902,weekly,35765
15615,town,35688
8848,beach,35625
11638,newsletter,35597
47244,dick,35531
18356,bay,35476
28587,coffee,35473
33741,tony,35396
5488,coalition,35305
9402,cart,35293
5956,inside,35291
4967,biology,35235
37738,mother,35176
755,valley,35131
7261,display,35105
27333,fraud,35046
9350,delete,34974
13301,gallery,34972
4051,planet,34964
25280,helping,34935
41286,boy,34933
20668,bird,34918
30571,kingdom,34813
7641,nancy,34716
21816,finder,34546
32227,deal,34326
7769,peace,34315
15061,abuse,34300
44032,department,34133
39934,taking,34121
16580,fighting,34119
22629,let,34098
11970,ken,34059
41151,crisis,34043
1468,problem,34031
3498,van,33978
30110,organization,33974
2853,short,33949
35094,staff,33926
39663,rule,33900
35787,easter,33837
45544,found,33822
25291,key,33806
19538,hope,33786
448,dating,33784
41393,code,33780
49079,moon,33743
27812,patent,33544
33383,litigation,33509
10574,innovation,33490
29562,even,33421
39840,nature,33377
36786,independent,33371
36634,test,33354
13685,every,33199
21663,medicine,33096
28238,elite,33069
49112,record,33060
10265,check,33045
15941,humor,33037
42484,miller,33013
28227,six,32991
48066,driver,32839
23222,field,32821
18714,body,32732
10204,powered,32691
47063,therapy,32685
24551,signal,32676
31362,professional,32641
10824,revolution,32527
4750,kelly,32479
16667,standard,32454
1747,jay,32421
45227,question,32417
875,liberal,32380
3099,nick,32300
35984,behind,32291
17590,secondary,32281
40311,ten,32224
24704,survey,32148
3165,pop,32123
16652,goat,32094
26813,statement,32093
27068,must,32064
23215,listen,32031
22560,bookstore,31960
24492,early,31903
28599,hello,31851
16965,amy,31842
45524,agency,31814
15290,easy,31797
42579,tales,31790
6419,aid,31760
35930,advocacy,31756
23411,german,31754
20417,sea,31736
31094,alternative,31732
17020,un,31727
31969,violence,31718
8005,journey,31694
33701,index,31641
1533,thing,31587
45836,celebrity,31557
47732,cold,31549
36438,poetry,31466
3141,russia,31409
1958,hall,31379
2238,flow,31333
25964,automotive,31225
6641,choice,31168
34622,via,31165
44620,gun,31128
16101,turkey,31127
17971,add,31120
20905,grand,31106
30076,snow,31105
40606,edition,31077
19541,rescue,31062
28790,defense,31033
27177,j,30977
30462,meeting,30972
34684,journalism,30941
12493,committee,30927
6213,browse,30904
36083,c,30870
22210,safe,30853
1120,kim,30766
37910,tree,30690
2498,faith,30628
7311,studio,30622
311,official,30609
8370,client,30588
47247,gay,30484
5346,employment,30407
31963,third,30218
43197,gas,30200
45995,mountain,30198
26658,wood,30176
45311,battle,30161
46529,statistics,30152
40061,always,30134
16043,annual,30109
20225,cause,30073
27874,festival,30060
29658,computer,30037
37544,ross,30018
45297,funny,29962
37202,summit,29962
3161,foreign,29937
16927,net,29925
47050,fight,29895
8297,corps,29887
11678,leave,29883
49587,source,29809
34196,pro,29754
15779,attack,29753
34752,sharp,29721
39582,poll,29684
27936,da,29676
45283,labour,29670
12452,previous,29641
1015,away,29607
47037,anna,29594
17894,stone,29568
39722,cover,29566
10970,river,29474
21955,wedding,29443
41759,rate,29385
8351,fear,29348
28364,password,29310
40974,season,29282
10982,fresh,29238
14284,loading,29194
35136,fine,29187
14124,matter,29135
4517,legacy,29126
48990,force,29100
6072,developmental,29083
11026,finding,29054
17024,crazy,28974
29066,infectious,28927
39293,lewis,28927
27293,functional,28911
24417,gone,28903
27453,comes,28875
28717,plus,28795
18940,n,28730
40254,fail,28698
38352,laura,28693
32914,original,28677
38508,growth,28642
36742,sclerosis,28599
1283,voting,28598
34495,seven,28550
15525,magic,28532
27567,republic,28529
2005,door,28495
10201,machine,28414
3953,rick,28411
28009,ice,28366
48855,main,28299
511,ethics,28292
1019,congress,28266
4760,train,28237
31139,license,28154
44309,reality,28097
330,almost,28092
28850,hair,28049
7997,league,28033
23370,hard,28022
10521,mar,28014
28516,theory,27963
21366,motif,27929
12344,metabolism,27907
27324,museum,27841
34762,adventure,27828
21839,piece,27824
48809,hand,27815
21910,wind,27793
16600,ted,27764
32127,legislation,27736
27808,zero,27730
30979,picture,27725
13109,welfare,27713
32886,synthesis,27687
31915,validation,27678
39605,inquiry,27658
17298,joy,27630
33471,cardiovascular,27573
43091,movement,27553
45075,station,27538
25077,beat,27537
31090,model,27526
47641,traffic,27515
36443,immunology,27500
8145,graham,27475
47859,antibody,27464
10858,become,27456
15501,tell,27437
16809,murder,27431
9899,phage,27416
31952,ralph,27401
3471,pretty,27362
25577,running,27343
4934,lynch,27310
19952,colorado,27270
33990,fish,27261
649,steven,27256
6230,jersey,27252
27851,renew,27240
18268,amyotrophic,27193
32373,alkaline,27171
10813,thank,27165
47698,mission,27146
15746,important,27137
3941,dance,27136
44742,square,27103
4650,release,27078
36094,labor,27074
17343,hour,27070
27481,sky,27041
14952,hell,26987
43646,entertaining,26967
25295,retired,26966
33265,microbiology,26964
7224,peptide,26947
27364,receptor,26943
45353,response,26936
14603,master,26924
1509,commercial,26902
15439,focus,26896
35759,rhodamine,26890
20692,plotter,26881
33384,intellectual,26877
40176,biotin,26866
38797,transduction,26865
34494,fluorescein,26861
16835,autophagy,26861
7719,phosphatase,26861
6562,phospho,26860
1255,peroxidase,26859
11051,unconjugated,26859
33972,classic,26846
34868,hero,26812
36916,puppy,26784
29870,perry,26772
34533,equality,26769
14276,angry,26751
46390,burning,26724
46358,kind,26678
48586,investment,26634
22349,failure,26557
28450,constitution,26538
20719,wright,26536
45324,virtual,26502
10912,dear,26467
701,marc,26455
46748,walk,26453
41400,ground,26447
3681,ray,26408
31958,maria,26386
34763,philosophy,26378
20555,idea,26365
47315,k,26360
10972,chuck,26346
16694,blair,26346
29,village,26338
31565,enterprise,26242
21849,wife,26208
8058,domestic,26169
8784,far,26125
29391,kit,26098
12142,warning,26043
35414,stand,26035
41035,heather,26020
36525,guardian,26006
25198,electronic,26004
48363,fake,25959
2080,already,25952
23139,rape,25933
23311,decision,25892
35822,evidence,25849
48484,chocolate,25827
11835,doctor,25813
29093,table,25784
16958,large,25746
30825,provider,25724
35606,drug,25697
45002,mail,25688
30951,conflict,25657
584,bit,25653
3173,destination,25639
41828,communication,25612
18514,perfect,25607
1284,st,25605
37376,rob,25582
980,form,25556
7136,fast,25553
20056,suicide,25505
26637,chief,25391
46350,bag,25382
4701,single,25376
15398,hospital,25362
16064,larry,25355
36590,youth,25301
1043,mental,25297
2393,glass,25292
45854,generation,25289
16073,solar,25272
1550,mad,25270
26814,libertarian,25270
40354,regional,25159
6677,lawyer,25116
4619,choosing,25083
26163,everyone,25029
37275,century,25022
19443,chip,25002
24728,horse,24978
43650,bridge,24977
29322,g,24972
45177,environmental,24953
6783,female,24951
34737,return,24941
2209,self,24866
47791,ready,24853
169,walter,24834
39966,worth,24780
26908,knowledge,24761
16345,judge,24696
24768,carl,24693
11597,brilliant,24680
1528,locator,24661
25659,brand,24635
46514,growing,24617
3606,lake,24588
12707,defence,24581
18276,fiction,24580
1881,eat,24573
18145,sound,24556
49200,lose,24548
11674,critical,24495
45565,nuclear,24468
30949,pat,24442
15881,gore,24433
46805,senate,24430
22440,disclosure,24393
18833,residential,24355
5356,speak,24342
40822,isolation,24336
8054,executive,24301
5288,las,24279
13480,alert,24273
45412,needs,24257
18249,western,24248
38,application,24244
22519,terror,24238
37103,clark,24235
2861,capitalism,24227
33192,southern,24224
2485,morgan,24205
10023,ban,24176
42259,lane,24174
47558,step,24162
46611,cup,24160
35183,diversity,24137
19399,channel,24135
26929,warren,24119
30022,bunny,24113
5411,electric,24102
1278,artist,24072
21182,l,24065
43288,colin,24047
21628,warming,24042
29314,continue,24033
1233,dollar,24008
12233,low,23965
27051,inequality,23964
32138,different,23946
18813,giveaway,23931
16509,cake,23908
6205,arcade,23874
9389,republican,23848
10339,rich,23843
33843,poverty,23836
28818,r,23809
20239,grey,23805
10890,trading,23798
22296,cross,23789
28068,impact,23768
5215,intimacy,23762
28577,beck,23754
30168,appeal,23749
24693,fat,23734
23349,scam,23724
11460,counsel,23724
7793,waste,23693
35646,citizen,23675
6026,charity,23669
22041,terrorism,23663
1029,beer,23638
9372,professor,23632
16015,dangerous,23604
16466,interesting,23572
38555,sugar,23560
33079,drive,23545
14746,mi,23541
5877,number,23537
12970,memory,23514
22433,dinner,23511
29183,rush,23487
25847,hate,23479
46367,benefit,23471
12763,major,23466
8670,heritage,23463
21813,disaster,23462
44428,available,23437
26092,together,23364
19501,district,23332
22653,roundup,23280
43447,success,23249
8428,lead,23215
24108,naked,23173
37887,simply,23161
3636,round,23148
3518,moment,23107
10386,ford,23020
14626,move,22990
39691,intelligence,22981
8365,universal,22966
7511,break,22964
44195,content,22957
8910,walker,22895
42543,stupid,22877
47924,quick,22863
15763,clean,22823
48786,fly,22809
2567,mass,22807
13603,loss,22805
39199,con,22727
18008,less,22703
12953,note,22688
12400,wine,22681
6062,mystery,22667
12245,jimmy,22641
4288,michigan,22629
8852,awareness,22595
709,northern,22547
33792,teaching,22547
7345,collins,22486
1046,coast,22481
36518,quality,22456
44545,sexual,22448
6092,bus,22447
36562,parker,22344
40026,perspective,22252
36671,cooper,22244
8158,evil,22184
21711,terry,22180
15275,cheese,22159
12770,bull,22116
36313,uncategorized,22057
27866,former,22054
7468,chaos,22045
40369,memorial,22018
23308,breakfast,22013
27045,strong,22011
3533,pope,21996
20527,cole,21995
9750,anniversary,21993
19674,jean,21978
49472,band,21974
47701,agent,21961
26812,banking,21945
7787,exam,21904
8815,higher,21864
42800,billy,21863
8475,cloud,21840
3847,agreement,21829
44596,army,21813
20813,write,21803
5325,carol,21800
15158,orange,21793
5598,wolf,21777
20364,half,21775
36396,para,21775
29191,rice,21759
36273,grace,21732
11397,transport,21727
33394,nelson,21725
25176,anything,21685
30883,emergency,21685
47446,launch,21682
43848,chicken,21679
35717,identity,21679
33484,amazing,21675
13391,login,21657
35024,effect,21650
25651,robin,21615
38191,whole,21592
38633,pain,21591
27599,audio,21568
982,p,21560
46200,hip,21557
7909,lawsuit,21528
49402,phone,21527
41742,brad,21496
47162,border,21479
30124,craft,21477
21170,cash,21455
22063,canine,21418
25264,historical,21414
21473,missing,21395
30666,silver,21376
44279,slow,21369
29431,junk,21365
14455,solitaire,21365
3612,underground,21351
45815,notice,21347
11294,kirk,21335
39077,millions,21327
31406,football,21313
7055,racism,21306
44449,carpet,21296
40723,mac,21295
8599,hit,21287
36225,cooking,21247
24104,poor,21234
32765,edge,21233
26607,brief,21213
32732,interior,21182
16532,ball,21135
26597,contract,21134
21818,convention,21123
25566,religious,21117
10074,saying,21101
25765,tomorrow,21056
11573,engineering,21051
7922,leadership,21044
11345,royal,21027
3731,pack,21007
41989,authority,20994
36898,merry,20981
34650,presidential,20962
20053,comedy,20959
23602,garage,20930
10323,kill,20893
44543,scandal,20868
47969,cut,20863
8704,balance,20857
40390,captain,20823
14074,commerce,20812
37768,surgery,20792
36445,prince,20748
1551,cheap,20733
35195,date,20732
45780,camp,20721
12133,recovery,20704
20140,competition,20684
39151,spirit,20650
22623,sanders,20630
8282,baker,20623
27083,speaking,20620
10150,aide,20573
26538,concert,20562
11746,historic,20531
44761,send,20521
1700,obesity,20473
48447,cultural,20447
44674,drink,20425
49338,prison,20408
25587,per,20407
34844,forest,20384
29474,famous,20381
36763,id,20370
7083,soul,20351
19141,guilty,20335
19198,progressive,20294
33147,quiz,20273
33404,sue,20254
48191,issue,20203
48987,cook,20200
790,sally,20179
28021,outside,20176
41295,industrial,20175
34270,iron,20140
31184,wisdom,20133
15250,corruption,20096
42458,jury,20095
43177,jerry,20071
40314,angel,20061
24174,academy,20052
30251,radical,20048
10439,term,20013
38064,gray,19988
22642,thanksgiving,19971
39877,manage,19964
16506,teacher,19944
36033,extreme,19926
2144,organic,19923
126,bowl,19917
39281,abortion,19911
48439,economist,19910
42073,lab,19884
36896,foster,19877
33085,thread,19848
28767,blues,19824
15297,scheme,19790
16439,hospitality,19770
37047,stay,19756
2726,carter,19713
37622,di,19684
37189,salad,19639
29278,walking,19610
33726,shelter,19605
46590,driving,19597
25140,chronicle,19596
44441,customer,19522
31267,improve,19505
20271,referendum,19467
26731,stock,19462
31710,summary,19450
46344,resistance,19445
36533,regulation,19431
8254,murphy,19430
8983,cherry,19407
29745,author,19400
1250,enough,19398
40988,hotel,19398
30851,becomes,19384
14966,sandy,19363
30284,workshop,19359
44295,patriot,19280
44692,administration,19264
27674,upon,19262
14930,chemical,19247
48503,monthly,19218
8051,also,19215
44263,evolution,19200
25149,value,19195
11594,calling,19195
39169,prize,19191
32115,mess,19172
14553,purple,19163
7973,castle,19148
12413,dust,19091
31272,bring,19074
38775,kerry,19055
21965,circle,19051
16487,winning,19026
3921,recipe,19018
1657,opening,19001
35490,domain,18995
33770,thanks,18990
3914,beth,18961
42943,emma,18948
16614,grant,18944
17139,finally,18941
35456,rest,18940
6521,target,18907
22030,advanced,18881
15276,essential,18873
34562,command,18842
13167,saint,18808
5320,camera,18806
23869,geek,18749
36790,wellness,18740
10116,claim,18739
8622,princess,18732
5151,partner,18710
14588,ruth,18692
1996,used,18675
5874,keeping,18672
2717,cute,18619
39295,vision,18619
563,cream,18610
9136,behavior,18587
18871,close,18582
34093,mitt,18580
31319,chic,18577
49447,level,18571
32416,pundit,18562
17623,shot,18559
6846,dad,18556
1221,build,18512
45098,mining,18490
33961,relief,18488
46808,forward,18485
11940,amendment,18440
323,birth,18423
32475,penny,18395
31218,wire,18387
7470,independence,18385
23946,elephant,18378
9865,late,18344
27041,advocate,18330
33689,flower,18328
15666,fascism,18297
42163,window,18266
23953,constitutional,18230
19018,protect,18229
37539,architecture,18198
6059,version,18184
35574,sons,18162
44893,tale,18127
27401,express,18101
14335,patient,18078
24945,touch,18077
35995,die,18060
4876,yellow,18032
41735,present,18023
22184,might,18021
43564,jake,18005
31800,deep,17984
24793,since,17971
48629,lord,17970
39465,reserve,17946
8207,brother,17926
7776,digest,17918
4466,piper,17892
26624,exercise,17862
24987,director,17831
29305,rise,17810
24242,believe,17806
9681,lots,17801
30050,investigation,17793
39237,monster,17782
5601,wealth,17772
35769,false,17726
46524,put,17721
37472,adoption,17713
45540,fiscal,17704
35506,speed,17703
20633,depression,17672
42302,spot,17667
8962,operation,17657
34022,wonder,17630
25855,answer,17625
40202,wish,17608
16106,creek,17605
28367,transportation,17593
42887,course,17584
21360,flight,17583
17563,tiny,17571
13410,rabbit,17560
25326,sister,17559
9661,division,17554
28042,h,17551
47650,holy,17521
514,tory,17515
37532,lovely,17511
33002,direct,17498
24086,kent,17481
3170,cleaning,17455
41701,popular,17449
45996,chat,17440
16022,assessment,17433
28235,lunch,17402
39522,catholic,17399
14457,rip,17387
3191,role,17364
17817,empire,17359
27988,rain,17340
5864,retail,17339
17177,strike,17338
5814,alcohol,17330
18343,longer,17320
23673,ministry,17310
40742,testing,17286
882,ruby,17263
3766,pig,17224
39754,flea,17216
44150,stealing,17189
12031,pressure,17188
19072,rocket,17179
25014,danger,17159
27616,losing,17158
13006,kos,17142
3708,went,17136
34633,rand,17123
8963,electoral,17120
18081,size,17118
5189,initiative,17110
14351,shepherd,17095
