African philosophy,1,1
Analytical feminism,0,0
List of feminist literature,0,0
Feminist sexology,0,0
Suffrage in Australia,0,0
Australian Senate,0,0
List of whips in the Australian Senate,0,0
George Campbell (Australian politician),0,0
Socialist Left (Australia),0,0
Labor Left,0,0
Australian Labor Party split of 1916,0,0
"Australian Labor Party leadership spills, 2003",0,0
Whitlam Government,0,0
Bertie Milliner,0,0
Premier of Queensland,0,0
Chief Minister of the Northern Territory,0,0
Metaphysics,0,0
John Rawls,0,0
John Gardner (lawyer),0,0
John Gardner (legal philosopher),0,0
Hans Kelsen,0,0
Thomas Aquinas,0,0
Anarchism,0,0
Anarchism and issues related to love and sex,0,0
Market abolitionism,0,0
Rudolf Rocker,0,0
1919 United States anarchist bombings,0,0
Dynamite,0,0
Blast fishing,0,0
Fisheries management,0,0
Food,0,0
German philosophy,1,1
Aristotle,0,0
Epistemological anarchism,0,0
Murray Bookchin,0,0
Chris Pallis,0,0
Mexican Revolution,0,0
Octavio Paz,0,0
Human rights,0,0
Secularism,0,0
Humanists UK,0,0
Linda Smith (comedian),0,0
Arena,0,0
Colosseum,0,0
Ostrich,0,0
Common ostrich,0,0
Adenosine triphosphate,0,0
Anarchism,0,0
Colony,0,0
Raya (country subdivision),0,0
Qadaa,0,0
Kaza,0,0
Arabic language,0,0
Arabic,0,0
History of the Scots language,0,0
History of the Norwegian language,0,0
Norwegian language,0,0
Alveolar consonant,0,0
Voiced palatal affricate,0,0
Skolt Sami language,0,0
Unna Junná,0,1
Ancient Greek philosophy,1,1
Computer science,0,0
Cosmology,0,0
Environmental law,0,0
Natural environment,0,0
Hydrogen,0,0
Alkaline earth metal,0,0
Magnesium oxide,0,0
RTECS,0,0
Registry of Toxic Effects of Chemical Substances,0,0
Canadian Centre for Occupational Health and Safety,0,0
Hearing Loss,0,0
Hearing loss,0,0
Charcot–Marie–Tooth disease,0,1
Al-Kindi,0,0
Almanac,0,0
Tide table,0,0
Atlantic,0,0
Atlantic Ocean,0,0
Andaman Islands,0,0
Buttress root,0,0
Buttress,0,0
Mosque of Uqba,0,0
Great Mosque of Kairouan,0,0
Great Mosque of Testour,0,0
Great Mosque of Sousse,0,0
Aghlabids,0,0
1988 October Riots,0,0
First Intifada,0,0
Holism,0,0
Tite,0,0
"Saint-Tite, Quebec",0,0
UTC−5,0,1
Legalism (Chinese philosophy),1,1
Nyaya,0,0
Muktikā,0,1
Bantu Philosophy,1,1
Anarchism,0,0
Communism,0,0
David Hume,0,0
Constructivist epistemology,0,0
Instrumentalism,0,0
Human science,0,0
History and Class Consciousness,0,0
Verificationism,0,0
Modernism,0,0
Antonio Gramsci,0,0
Orio Vergani,0,1
Medieval universities,0,0
Medieval university,0,0
Further education,0,0
Higher National Diplomas,0,0
Higher National Diploma,0,0
Regulated Qualifications Framework,0,0
National qualifications frameworks in the United Kingdom,0,0
Graduate Diploma,0,0
Graduate diploma,0,0
Education in the Republic of Ireland,0,0
Test (assessment),0,0
Sihanoukville (city),0,0
Precipitation,0,0
Return period,0,0
Poisson distribution,0,0
Jurisprudence,0,0
Albert Camus,0,0
Anarchism in Greece,0,0
Deep ecology,0,0
Environmental law,0,0
Earth Charter,0,0
Global citizenship,0,0
Trade globalization,0,0
Environmental globalization,0,0
History of modernisation theory,0,0
Primitive accumulation of capital,0,0
Reserve army of labour,0,0
Budapest School (Lukács),0,1
Gerd B. Achenbach,0,0
Philosophical practice,0,0
Philosophical counseling,0,0
Psychopathology,0,0
Animal psychopathology,0,0
Animal shelter,0,0
